File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
BuiltInPlugins.zip,d968b5eb843f401b781ca0544fe97f74,1166371,1579114
Plugins.zip,cb13217d892fa3c4213bc7ae925e7f4c,591359,1254400
Qml.zip,fdab98166b237e470a85cf1eef15effa,1534971,4225920
RobloxStudio.zip,63422f2ef1ba1a32a8e29e8ea941e3ee,12746225,30096422
Libraries.zip,c78c56ea01130a6625633e5e054a20f0,7197160,17754200
LibrariesQt5.zip,6b71317c30602dd50921cc226ba7655d,30084346,71128064
content-avatar.zip,de6982131c285392f011f239393ba073,202484,980254
content-fonts.zip,6e3020d76107ac20a1d2a6a9fea1ab45,2049661,4173694
content-luapackages.zip,6ba599bdbecdcb1e195f24c2ec3c1429,430868,1222912
content-models.zip,1d440935e51d500469a1269862fba9ca,129922,626936
content-translations.zip,c8e61191e4614a7bc62f443c1c54cfed,87722,322857
content-scripts.zip,500586ce0d1da5b3277d92037b1e3ad3,981403,3463580
content-sky.zip,51fc695b859d448aa4448fe735797cf0,24785,32014
content-sounds.zip,c6e058210724bd746b7ae9b0c43a4cac,351545,375510
shaders.zip,e2a4870a34df768ccbc863c43a078922,745177,5882230
content-textures2.zip,c62c226b3f816cbe81651b7d343cb249,11255316,12113510
content-textures3.zip,3041a9c57d3a7ff4b856037ff5efc170,28340849,42953888
content-terrain.zip,b1a4154cfa439a0c98d560a87911c883,24737293,36359201
content-platform-fonts.zip,00b01849ef94f80c58907832d1a145c7,13681295,16427228
redist.zip,2157006f2612107bb52ef4e68973040d,1886977,4203368
RobloxStudioLauncherBeta.exe,73977bceb2da5838e081a4884711add1,1178304,1178304
